LotFrontage,SalePrice
104,755000.0
160,745000.0
118,625000.0
100,611657.0
107,582933.0
85,556581.0
105,555000.0
47,538000.0
63,501837.0
104,485000.0
90,475000.0
NA,466500.0
107,465000.0
97,451950.0
67,446261.0
110,440000.0
66,438780.0
56,437154.0
NA,430000.0
96,426000.0
77,424870.0
49,423000.0
107,415298.0
110,412500.0
56,410000.0
174,403000.0
94,402861.0
52,402000.0
83,395192.0
110,395000.0
96,394617.0
88,394432.0
64,392500.0
60,392000.0
103,386250.0
68,385000.0
114,385000.0
77,383970.0
NA,381000.0
105,380000.0
89,378500.0
42,377500.0
86,377426.0
150,375000.0
72,374000.0
80,372500.0
107,372402.0
85,370878.0
88,369900.0
65,367294.0
82,361919.0
90,360000.0
78,359100.0
99,354000.0
91,350000.0
74,350000.0
82,348000.0
85,345000.0
75,345000.0
111,342643.0
96,341000.0
102,340000.0
NA,340000.0
85,339750.0
96,337500.0
82,337000.0
98,336000.0
42,335000.0
96,335000.0
100,335000.0
108,333168.0
50,328900.0
80,328000.0
98,326000.0
86,325624.0
101,325300.0
77,325000.0
75,325000.0
98,325000.0
108,325000.0
32,324000.0
90,320000.0
134,320000.0
86,320000.0
84,320000.0
61,319900.0
69,319000.0
68,318061.0
93,318000.0
93,318000.0
76,317000.0
79,316600.0
95,315750.0
89,315500.0
70,315000.0
80,315000.0
85,315000.0
129,315000.0
90,314813.0
NA,313000.0
85,312500.0
79,311872.0
NA,311500.0
NA,310000.0
85,310000.0
108,309000.0
75,307000.0
98,306000.0
80,305900.0
85,305000.0
75,303477.0
NA,302000.0
NA,302000.0
91,301500.0
86,301000.0
NA,299800.0
79,297000.0
61,295493.0
87,295000.0
NA,294000.0
71,293077.0
82,290000.0
92,290000.0
65,290000.0
85,290000.0
92,290000.0
100,289000.0
78,287090.0
NA,287000.0
NA,287000.0
41,286000.0
90,285000.0
93,285000.0
85,285000.0
85,284000.0
85,284000.0
93,283463.0
49,282922.0
88,281213.0
86,281000.0
78,280000.0
109,280000.0
62,280000.0
107,280000.0
91,279500.0
80,278000.0
40,278000.0
60,277500.0
NA,277000.0
NA,277000.0
69,276000.0
80,275500.0
NA,275000.0
74,275000.0
NA,275000.0
NA,275000.0
44,275000.0
NA,274970.0
76,274900.0
168,274725.0
75,274300.0
62,274000.0
NA,272000.0
NA,272000.0
90,271900.0
NA,271000.0
81,271000.0
75,270000.0
30,270000.0
85,270000.0
92,269790.0
92,269500.0
NA,268000.0
95,268000.0
66,267000.0
66,266500.0
84,266000.0
63,266000.0
65,265979.0
64,265900.0
79,265000.0
53,264561.0
75,264132.0
75,263435.0
75,263000.0
75,262500.0
NA,262500.0
86,262280.0
89,262000.0
NA,261500.0
59,260400.0
121,260000.0
78,260000.0
94,260000.0
90,260000.0
NA,260000.0
124,260000.0
61,259500.0
182,259000.0
93,258000.0
110,257500.0
88,257000.0
110,256300.0
NA,256000.0
60,256000.0
NA,255900.0
87,255500.0
116,255000.0
90,255000.0
100,254900.0
48,254000.0
98,253293.0
75,253000.0
72,252678.0
85,252000.0
41,251000.0
72,250580.0
84,250000.0
75,250000.0
98,250000.0
NA,250000.0
86,250000.0
NA,250000.0
85,250000.0
80,250000.0
84,249700.0
67,248900.0
83,248328.0
NA,248000.0
NA,248000.0
53,246578.0
38,245500.0
64,245350.0
78,245000.0
74,244600.0
NA,244400.0
95,244000.0
NA,244000.0
93,244000.0
84,243000.0
96,242000.0
313,242000.0
80,241500.0
73,241500.0
65,241000.0
NA,240000.0
90,240000.0
75,240000.0
50,240000.0
43,240000.0
80,240000.0
72,239900.0
73,239799.0
48,239686.0
80,239500.0
44,239000.0
66,239000.0
86,239000.0
122,239000.0
80,239000.0
89,239000.0
103,238000.0
NA,237500.0
44,237000.0
75,237000.0
39,236500.0
NA,236500.0
NA,236000.0
80,236000.0
92,235128.0
NA,235000.0
174,235000.0
44,235000.0
NA,235000.0
120,235000.0
NA,235000.0
70,235000.0
53,234000.0
NA,234000.0
120,233230.0
79,233170.0
76,233000.0
81,232600.0
75,232000.0
73,232000.0
48,232000.0
65,231500.0
80,231500.0
106,230500.0
